curso,no_ies,est,mun,val
ODONTOLOGIA,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,3082.41
MEDICINA VETERIN?RIA,UNIVERSIDADE POTIGUAR,RN,Natal,3050.66
ODONTOLOGIA,FACULDADE ADVENTISTA DA BAHIA,PE,Jaboat? dos Guararapes,3005.08
ENGENHARIA EL?RICA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2989.3
ODONTOLOGIA,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,2964
ODONTOLOGIA,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,2936.3
PSICOLOGIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,2898
ARQUITETURA E URBANISMO,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2892
FISIOTERAPIA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2880.55
FISIOTERAPIA,EST?CIO FATERN - FACULDADE EST?CIO DO RIO GRANDE DO NORTE,RN,Natal,2847.52
ODONTOLOGIA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,2842.75
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,2799.6
ODONTOLOGIA,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,2792.71
ODONTOLOGIA,FACULDADE CNEC SANTO ?GELO,PB,Jo? Pessoa,2775.21
MEDICINA VETERIN?RIA,Centro Universit?io FG,BA,Guanambi,2773.2
PSICOLOGIA,FACULDADE DO SUL,BA,Lauro de Freitas,2762.4
DIREITO,FACULDADE S? SALVADOR,BA,Salvador,2752.77
ODONTOLOGIA,CENTRO UNIVERSIT?RIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,MA,S? Lu?,2747.87
ODONTOLOGIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,2738.42
ENFERMAGEM,Centro Universit?io FACEX,RN,Natal,2718.75
NUTRI?O,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,2713
ODONTOLOGIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,2700.5
DIREITO,FASS - FACULDADE SOCIAL SUL AMERICANA,BA,Lauro de Freitas,2700
ENFERMAGEM,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,2693.77
DIREITO,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,2693.58
ODONTOLOGIA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,2686.62
DIREITO,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,2666.28
ENGENHARIA MEC?ICA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2653.33
ODONTOLOGIA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,2646.1
ENGENHARIA CIVIL,FACULDADE PARA?O DO CEAR?,CE,Juazeiro do Norte,2640.63
ENFERMAGEM,CENTRO UNIVERSIT?RIO CENECISTA DE OS?IO,PB,Jo? Pessoa,2638.68
ODONTOLOGIA,UNIVERSIDADE TIRADENTES,SE,Aracaju,2619
ODONTOLOGIA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,2611.06
ODONTOLOGIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN? DE MOSSOR?- FACENE/RN,PB,Jo? Pessoa,2608.83
ODONTOLOGIA,Faculdade Unirb - Barreiras,BA,Salvador,2592.33
DIREITO,FACULDADE DO SUL,BA,Lauro de Freitas,2588.4
PEDAGOGIA,FACULDADE SANTO ANTONIO,BA,Alagoinhas,2572
ENFERMAGEM,FACULDADE SANTO ANTONIO,BA,Alagoinhas,2572
BIOMEDICINA,FACULDADE SANTO ANTONIO,BA,Alagoinhas,2572
ODONTOLOGIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,2550.38
ODONTOLOGIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,2549.73
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,2533.56
FISIOTERAPIA,FACULDADE DELTA,BA,Salvador,2529.59
ODONTOLOGIA,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,2524.95
ENFERMAGEM,FACULDADE S? SALVADOR,BA,Salvador,2517.81
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,2517.42
ODONTOLOGIA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,2511.08
FONOAUDIOLOGIA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2507.32
MEDICINA VETERIN?RIA,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,2500
DIREITO,Centro Universit?io Fametro,CE,Fortaleza,2496
ENFERMAGEM,FACULDADE DO SUL,BA,Lauro de Freitas,2492.4
ODONTOLOGIA,FACULDADE SANTA MARIA,PB,Cajazeiras,2489.85
ODONTOLOGIA,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,2474.08
ODONTOLOGIA,Faculdade de Imperatriz Wyden,MA,Imperatriz,2457.74
ODONTOLOGIA,CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,2450
FISIOTERAPIA,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,2442.8
ODONTOLOGIA,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,2430.79
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2418.79
FARM?CIA,FACULDADE DELTA,BA,Salvador,2414.4
ENGENHARIA CIVIL,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,2413.28
ENFERMAGEM,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,2409
ENGENHARIA CIVIL,FACULDADE DO SUL,BA,Lauro de Freitas,2404.5
ODONTOLOGIA,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,2400
ENFERMAGEM,CENTRO UNIVERSIT?RIO DA GRANDE FORTALEZA,CE,Fortaleza,2382.5
PSICOLOGIA,FACULDADE DELTA,BA,Salvador,2379.6
FISIOTERAPIA,FACULDADE DO SUL,BA,Lauro de Freitas,2376
FARM?CIA,FACULDADE DO SUL,BA,Lauro de Freitas,2365.19
MEDICINA VETERIN?RIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,2355.5
GASTRONOMIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,2345.65
DIREITO,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,2338.33
FISIOTERAPIA,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,2333.25
PSICOLOGIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,2325.6
FISIOTERAPIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,2323.3
ODONTOLOGIA,FACULDADE UNINASSAU CARUARU,PE,Recife,2320.29
ENGENHARIA MEC?ICA,FACULDADE DO SUL,BA,Lauro de Freitas,2310.35
DIREITO,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,2300
ENGENHARIA EL?RICA,FACULDADE DO SUL,BA,Lauro de Freitas,2283.65
ADMINISTRA?O,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2261.13
MEDICINA VETERIN?RIA,Centro Universit?io Fametro,CE,Fortaleza,2260.73
SISTEMAS DE INFORMA?O,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2260
ENGENHARIA DE PRODU?O,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2259.6
FONOAUDIOLOGIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,2252
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,2244
ODONTOLOGIA,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,2237.17
ODONTOLOGIA,FACULDADE DE TECNOLOGIA DE ALAGOAS,AL,Macei?,2231.04
ODONTOLOGIA,FACULDADE MARIA MILZA,BA,Cruz das Almas,2226.54
ARQUITETURA E URBANISMO,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,2222.75
ENGENHARIA CIVIL,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2213.32
ENGENHARIA DE PRODU?O,FACULDADE DO SUL,BA,Lauro de Freitas,2202.96
ODONTOLOGIA,FACULDADE UNINASSAU NATAL,RN,Natal,2201.46
CI?CIAS CONT?BEIS,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,2200.74
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,2195.43
ENFERMAGEM,CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,2191.76
ODONTOLOGIA,Faculdade Unirb - Mossor?,RN,Mossor?,2187.28
ENGENHARIA EL?RICA,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2185
ENGENHARIA MEC?ICA,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,2184
DIREITO,FACULDADE BAIANA DE DIREITO E GEST?,BA,Salvador,2180.25
ODONTOLOGIA,Faculdade de Tecnologia e Administra?o Edufor,CE,Fortaleza,2177.32
MEDICINA VETERIN?RIA,FACULDADE IREC?,BA,Irec?,2177.14
ODONTOLOGIA,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,2173.39
ODONTOLOGIA,INSTITUTO SUPERIOR DE EDUCA?O DE CAJAZEIRAS,PB,Cajazeiras,2168.04
ENGENHARIA CIVIL,CISNE - FACULDADE DE QUIXAD?,CE,Quixad?,2159.53
ODONTOLOGIA,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,2150.83
MEDICINA VETERIN?RIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,2145.24
NUTRI?O,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2127.96
ODONTOLOGIA,FACULDADE DE CAMPINA GRANDE,PB,Campina Grande,2127.93
MEDICINA VETERIN?RIA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,2126
ODONTOLOGIA,FACULDADE DE ODONTOLOGIA DO RECIFE,PE,Recife,2114
FISIOTERAPIA,UNIVERSIDADE POTIGUAR,RN,Natal,2112.32
ARQUITETURA E URBANISMO,FACULDADE DO SUL,BA,Lauro de Freitas,2112
DIREITO,CENTRO UNIVERSIT?RIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,MA,S? Lu?,2106.84
ENFERMAGEM,FACULDADE TERRA NORDESTE,CE,Fortaleza,2106.69
BIOMEDICINA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,2105.33
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,FACULDADE UNIME DE CI?CIAS SOCIAIS,BA,Lauro de Freitas,2095
ODONTOLOGIA,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,2089.68
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,2088.86
ENGENHARIA CIVIL,UNIVERSIDADE SALVADOR,BA,Salvador,2083.45
PSICOLOGIA,FACULDADE ADVENTISTA DA BAHIA,PE,Jaboat? dos Guararapes,2082.05
ENGENHARIA CIVIL,Centro Universit?io Fanor Wyden,CE,Fortaleza,2076.48
ODONTOLOGIA,FACULDADE UNINASSAU MANAUS,PE,Recife,2076.14
ODONTOLOGIA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,2070
ENFERMAGEM,FACULDADE DELTA,BA,Salvador,2066.4
ADMINISTRA?O,FACULDADE UNIME DE CI?CIAS SOCIAIS,BA,Lauro de Freitas,2066
MEDICINA VETERIN?RIA,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,2064.78
ODONTOLOGIA,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,2058.57
FISIOTERAPIA,FACULDADE S? SALVADOR,BA,Salvador,2050.1
ARQUITETURA E URBANISMO,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,2041.61
ODONTOLOGIA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,2040.34
ODONTOLOGIA,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,2037.71
ODONTOLOGIA,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,2035.95
ENFERMAGEM,FACULDADE PRINCESA DO OESTE,CE,Crate?s,2024.23
CI?CIA DA COMPUTA?O,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,2011.1
ODONTOLOGIA,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,2005.88
ODONTOLOGIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,2000.03
ODONTOLOGIA,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,1999.5
ENGENHARIA DE PRODU?O,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1995.86
ODONTOLOGIA,FACULDADE DE INTEGRA?O DO SERT?,PE,Serra Talhada,1992.5
FISIOTERAPIA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1977.69
ENGENHARIA AMBIENTAL E SANIT?RIA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1961.91
MEDICINA VETERIN?RIA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1952.66
ODONTOLOGIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,1943.33
PSICOLOGIA,CENTRO UNIVERSIT?RIO CENECISTA DE OS?IO,PB,Jo? Pessoa,1942.25
DIREITO,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1940.06
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO UNIVERSUS VERITAS,PB,Campina Grande,1938.65
MEDICINA VETERIN?RIA,Faculdade Unirb - Barreiras,BA,Salvador,1923.51
MEDICINA VETERIN?RIA,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1923.51
ENGENHARIA MEC?ICA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1919.27
DIREITO,Centro Universit?io Fanor Wyden,CE,Fortaleza,1918.56
FISIOTERAPIA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1918.54
FISIOTERAPIA,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1917.72
ODONTOLOGIA,INSTITUTO SUPERIOR DE EDUCA?O DE CAXIAS,MA,Caxias,1917.35
JORNALISMO,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1910.6
ENGENHARIA MEC?ICA,UNIVERSIDADE SALVADOR,BA,Salvador,1909.49
PUBLICIDADE E PROPAGANDA,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,1895.95
ENGENHARIA MEC?ICA,FACULDADE DELTA,BA,Salvador,1883
