curso,no_ies,est,mun,val
PSICOLOGIA,ESCOLA BAHIANA DE MEDICINA E SA?E P?LICA,BA,Salvador,1685
SERVI? SOCIAL,FACULDADE DO SUL,BA,Lauro de Freitas,1678
ENGENHARIA AMBIENTAL E SANIT?RIA,UNIVERSIDADE SALVADOR,BA,Salvador,1674.89
DIREITO,UNIVERSIDADE TIRADENTES,SE,Aracaju,1674.3
ENGENHARIA CIVIL,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1673.45
BIOMEDICINA,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1667.82
ENGENHARIA CIVIL,Faculdade CNEC Itaja?,PB,Jo? Pessoa,1665
ENFERMAGEM,FACULDADE ZACARIAS DE G?S,BA,Valen?,1663.2
ARQUITETURA E URBANISMO,Centro Universit?io Fanor Wyden,CE,Fortaleza,1661.27
ENGENHARIA DE PETR?EO E G?S,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1660.1
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1659.46
DIREITO,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1653.91
FONOAUDIOLOGIA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1652.98
PSICOLOGIA,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,1644.69
ENGENHARIA CIVIL,FACULDADE PIT?GORAS INSTITUTO CAMILLO FILHO,PI,Teresina,1641.68
DESIGN,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1639.38
ENGENHARIA CIVIL,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1637.66
NUTRI?O,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1636.36
NUTRI?O,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1634.27
ENGENHARIA CIVIL,FACULDADE LUCIANO FEIJ?,CE,Sobral,1632.69
ODONTOLOGIA,CENTRO UNIVERSIT?RIO FACOL,PE,Vit?ia de Santo Ant?,1630
DIREITO,FACULDADE DE ADMINISTRA?O E NEG?IOS DE SERGIPE,SE,Aracaju,1625
ENFERMAGEM,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1622.14
ENFERMAGEM,FACULDADE EST?CIO DE TERESINA,PI,Teresina,1621.86
ARQUITETURA E URBANISMO,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1620.71
DIREITO,FACULDADE DE BALSAS,MA,Balsas,1619.25
FISIOTERAPIA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1617.64
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1617.6
ENGENHARIA AMBIENTAL E SANIT?RIA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1614.63
EDUCA?O F?ICA,FACULDADE DO SUL,BA,Lauro de Freitas,1610
DIREITO,Centro Universit?io FBV Wyden,CE,Fortaleza,1608.88
FISIOTERAPIA,FACULDADE ZACARIAS DE G?S,BA,Valen?,1607.23
ENGENHARIA CIVIL,FACULDADE S? FRANCISCO DE JUAZEIRO,BA,Juazeiro,1606.66
ENGENHARIA CIVIL,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1602.35
ENGENHARIA DE PRODU?O,Faculdade ?rea1 Wyden,CE,Fortaleza,1600.96
PSICOLOGIA,FACULDADE SOCIAL DA BAHIA,BA,Salvador,1599.72
SERVI? SOCIAL,FACULDADE UNIME DE CI?CIAS SOCIAIS,BA,Lauro de Freitas,1597
ENGENHARIA EL?RICA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1591.34
FARM?CIA,INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,CE,Fortaleza,1585.73
ENGENHARIA DE PRODU?O,FACULDADE TERRA NORDESTE,CE,Fortaleza,1584.23
ENFERMAGEM,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,1580.35
COMUNICA?O SOCIAL - JORNALISMO,FACULDADE DO SUL,BA,Lauro de Freitas,1578
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA DE VALEN?,BA,Valen?,1574.64
PSICOLOGIA,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1573.62
CI?CIAS AERON?UTICAS,ESCOLA SUPERIOR DE AVIA?O CIVIL,PB,Campina Grande,1566.51
DIREITO,FACULDADE PRINCESA DO OESTE,CE,Crate?s,1565.68
DIREITO,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,1565.49
ENFERMAGEM,ESCOLA BAHIANA DE MEDICINA E SA?E P?LICA,BA,Salvador,1565
NUTRI?O,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1562.96
ENGENHARIA CIVIL,UNIVERSIDADE POTIGUAR,RN,Natal,1562.94
ODONTOLOGIA,CENTRO UNIVERSIT?RIO BRASILEIRO,PE,Recife,1561.56
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,1561.33
DIREITO,Faculdade CNEC Joinville,PB,Jo? Pessoa,1560
PSICOLOGIA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1558.12
FISIOTERAPIA,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1557.04
ENFERMAGEM,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1554.51
ENFERMAGEM,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1554
DIREITO,FACULDADE LUCIANO FEIJ?,CE,Sobral,1553.1
PSICOLOGIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1549.32
ENGENHARIA AGRON?ICA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1547.66
ENFERMAGEM,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1546.29
DIREITO,UNIVERSIDADE POTIGUAR,RN,Natal,1546.16
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1544.63
NUTRI?O,FACULDADE DELTA,BA,Salvador,1541
BIOMEDICINA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1535.23
NUTRI?O,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1533.04
ENGENHARIA CIVIL,Centro Universit?io FG,BA,Guanambi,1531.69
FISIOTERAPIA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1529.88
ARQUITETURA E URBANISMO,FACULDADE PIT?GORAS INSTITUTO CAMILLO FILHO,PI,Teresina,1529.05
ARQUITETURA E URBANISMO,Centro Universit?io FBV Wyden,CE,Fortaleza,1522.71
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,1521.58
PSICOLOGIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1520.4
DIREITO,Faculdade de Tecnologia e Administra?o Edufor,CE,Fortaleza,1520
ENGENHARIA QU?ICA,UNIVERSIDADE POTIGUAR,RN,Natal,1517.43
ODONTOLOGIA,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1515.14
NUTRI?O,CENTRO UNIVERSIT?RIO UNIVERSUS VERITAS,PB,Campina Grande,1513.08
ENGENHARIA CIVIL,Centro Universit?io FBV Wyden,CE,Fortaleza,1512.75
ENGENHARIA DE PRODU?O,FACULDADE DELTA,BA,Salvador,1506.28
ENFERMAGEM,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1506
ARQUITETURA E URBANISMO,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1503.94
DIREITO,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1503.43
ENGENHARIA CIVIL,FACULDADE DELTA,BA,Salvador,1503.08
DIREITO,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1502.46
ENFERMAGEM,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1500.21
FISIOTERAPIA,FACULDADE VALE DO SALGADO,CE,Juazeiro do Norte,1495.76
ENGENHARIA CIVIL,FACULDADE UNINASSAU CARUARU,PE,Recife,1490.42
MEDICINA VETERIN?RIA,Centro Universit?io da Amaz?ia,PB,Campina Grande,1489.61
ENFERMAGEM,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1488
ENFERMAGEM,CENTRO UNIVERSIT?RIO DOM PEDRO II,BA,Salvador,1479.85
ADMINISTRA?O,FACULDADE SANTO ANTONIO,BA,Alagoinhas,1476.15
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1474.2
MEDICINA VETERIN?RIA,FACULDADE VALE DO A?,MA,A?il?dia,1473.15
FISIOTERAPIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1472.76
ENGENHARIA CIVIL,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1470.76
ENGENHARIA MEC?ICA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1468.1
ENGENHARIA CIVIL,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1467
ENGENHARIA DE PETR?EO,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1467
FISIOTERAPIA,FACULDADE EST?CIO DE TERESINA,PI,Teresina,1462.61
GASTRONOMIA,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1458.14
FISIOTERAPIA,FACULDADE UNINASSAU CARUARU,PE,Recife,1457.65
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1456.54
DIREITO,Faculdade de Tecnologia e Ci?cias,BA,Salvador,1454.42
ENFERMAGEM,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,1453.92
PSICOLOGIA,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1452.21
ADMINISTRA?O,FACULDADE DO SUL,BA,Lauro de Freitas,1452
ENGENHARIA QU?ICA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1450.11
ENGENHARIA DE PETR?EO E G?S,UNIVERSIDADE POTIGUAR,RN,Natal,1449.14
BIOMEDICINA,Centro Universit?io FBV Wyden,CE,Fortaleza,1448.77
DIREITO,Centro Universit?io Favip Wyden,PE,Caruaru,1448.74
BIOMEDICINA,ESCOLA BAHIANA DE MEDICINA E SA?E P?LICA,BA,Salvador,1447.02
ENGENHARIA CIVIL,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,1446.23
ENFERMAGEM,FACULDADE IREC?,BA,Irec?,1445.44
DIREITO,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1445.15
ENGENHARIA DE PRODU?O,Centro Universit?io Fanor Wyden,CE,Fortaleza,1443.7
DIREITO,FACULDADE NOVA ROMA,PE,Recife,1438.67
CI?CIAS CONT?BEIS,FACULDADE DO SUL,BA,Lauro de Freitas,1436
FARM?CIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN? DE MOSSOR?- FACENE/RN,PB,Jo? Pessoa,1434.58
NUTRI?O,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,1434.54
ENFERMAGEM,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1431.83
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1431.68
FISIOTERAPIA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1428.99
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1428.97
ENGENHARIA MEC?ICA,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,1428
DIREITO,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,1426.92
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,UNIVERSIDADE SALVADOR,BA,Salvador,1424.12
ARQUITETURA E URBANISMO,UNIVERSIDADE SALVADOR,BA,Salvador,1418.7
ENFERMAGEM,Centro Universit?io Favip Wyden,PE,Caruaru,1414.68
ADMINISTRA?O,Faculdade de Ci?cias Educacionais de Capim Grosso,BA,Capim Grosso,1414.54
ENGENHARIA CIVIL,FACULDADE MARIA MILZA,BA,Cruz das Almas,1411.39
BIOMEDICINA,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,1400.72
ENFERMAGEM,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1400.17
DIREITO,FACULDADE CEARENSE,CE,Fortaleza,1400
NUTRI?O,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1398.5
ENGENHARIA DE PRODU?O,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1398.5
NUTRI?O,Faculdade Pit?oras Bacabal Mearim,MA,Bacabal,1398.02
ENFERMAGEM,UNIVERSIDADE POTIGUAR,RN,Natal,1397.74
ENGENHARIA CIVIL,Centro Universit?io Favip Wyden,PE,Caruaru,1393.25
DIREITO,CENTRO UNIVERSIT?RIO DOM PEDRO II,BA,Salvador,1393.17
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,1392.93
DIREITO,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1391.54
COMUNICA?O SOCIAL - JORNALISMO,FACULDADE DELTA,BA,Salvador,1390
ENGENHARIA CIVIL,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1389.45
DIREITO,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1389.45
ENGENHARIA AMBIENTAL E SANIT?RIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1389.04
NUTRI?O,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1389.04
BIOMEDICINA,FACULDADE DO SUL,BA,Lauro de Freitas,1388.71
ENGENHARIA MEC?ICA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1387.48
PSICOLOGIA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1386.82
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1385.48
PSICOLOGIA,Faculdade de Tecnologia e Ci?cias,BA,Salvador,1385.15
ARQUITETURA E URBANISMO,Centro Universit?io Favip Wyden,PE,Caruaru,1384.67
PSICOLOGIA,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1383.12
ENGENHARIA MEC?ICA,UNIVERSIDADE POTIGUAR,RN,Natal,1382.55
PSICOLOGIA,FACULDADE LUCIANO FEIJ?,CE,Sobral,1382.54
ENGENHARIA EL?RICA,Centro Universit?io FG,BA,Guanambi,1379.34
BIOMEDICINA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1376.4
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,1373.62
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1373.4
NUTRI?O,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1372.14
ARQUITETURA E URBANISMO,Centro Universit?io FG,BA,Guanambi,1370.69
ENFERMAGEM,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,1369.59
PSICOLOGIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1367.79
ENFERMAGEM,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1366.16
ENFERMAGEM,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1366.16
BIOMEDICINA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1364.68
DIREITO,FACULDADE CNEC SANTO ?GELO,PB,Jo? Pessoa,1360.1
DIREITO,FACULDADE DE CI?CIAS JUR?ICAS E SOCIAIS DE MACEI?,AL,Macei?,1359.35
ENFERMAGEM,UNIVERSIDADE TIRADENTES,SE,Aracaju,1357
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1356.33
FISIOTERAPIA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1356
ENFERMAGEM,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1356
ADMINISTRA?O,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,1350.33
PSICOLOGIA,FACULDADE FRASSINETTI DO RECIFE,PE,Recife,1349.2
ENGENHARIA AMBIENTAL E SANIT?RIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1348
ADMINISTRA?O,Centro Universit?io FACEX,RN,Natal,1346.6
FISIOTERAPIA,FACULDADE ADVENTISTA DA BAHIA,PE,Jaboat? dos Guararapes,1343.43
BIOMEDICINA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1343.35
PUBLICIDADE E PROPAGANDA,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,1342.08
FISIOTERAPIA,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1339.63
FONOAUDIOLOGIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1338.43
ENGENHARIA MEC?ICA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1338.17
FISIOTERAPIA,FACULDADE UNINASSAU S? LU?,SE,Aracaju,1336.03
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,1334
ENGENHARIA EL?RICA,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,1334
ENGENHARIA DE PRODU?O,FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,1334
ENGENHARIA EL?RICA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1332.65
PSICOLOGIA,Centro Universit?io Favip Wyden,PE,Caruaru,1332.27
FARM?CIA,Centro Universit?io Favip Wyden,PE,Caruaru,1331.9
FISIOTERAPIA,Centro Universit?io Favip Wyden,PE,Caruaru,1331.9
DIREITO,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1331.83
PSICOLOGIA,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1331.48
ENGENHARIA QU?ICA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1331.23
CI?CIAS CONT?BEIS,FACULDADE DELTA,BA,Salvador,1331
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,1328.56
BIOMEDICINA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1328.28
ENGENHARIA QU?ICA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1325.55
FARM?CIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1322.9
DIREITO,FACULDADE UNINASSAU TERESINA,PI,Teresina,1322.43
FARM?CIA,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1321.87
ENFERMAGEM,Centro Universit?io da Amaz?ia,PB,Campina Grande,1321.67
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1320.11
ADMINISTRA?O,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1319.99
DIREITO,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1319.98
PSICOLOGIA,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1319.98
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1319.59
FARM?CIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1319.59
ENGENHARIA CIVIL,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,1319.26
ENFERMAGEM,UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,1318.46
BIOMEDICINA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1317.33
ENFERMAGEM,Centro Universit?io Fametro,CE,Fortaleza,1316.7
MEDICINA VETERIN?RIA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1315.45
FARM?CIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1313.58
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,UNIVERSIDADE POTIGUAR,RN,Natal,1312.4
FONOAUDIOLOGIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1310.05
FARM?CIA,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1310
FISIOTERAPIA,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1310
DIREITO,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1310
ENGENHARIA CIVIL,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1308.66
ADMINISTRA?O,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1308.05
DIREITO,CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,1308
ENGENHARIA AMBIENTAL,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1304
PSICOLOGIA,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,1299.28
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,1298.39
ENFERMAGEM,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1297.85
NUTRI?O,Centro Universit?io Fametro,CE,Fortaleza,1296.75
ENGENHARIA MEC?ICA,Centro Universit?io FBV Wyden,CE,Fortaleza,1296.64
DIREITO,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1296.15
ENGENHARIA CIVIL,FACULDADE UNINASSAU TERESINA,PI,Teresina,1294.38
ARQUITETURA E URBANISMO,Centro Universit?io FACEX,RN,Natal,1291.5
ADMINISTRA?O,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1286.36
DIREITO,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,1285.01
BIOMEDICINA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1284.91
FISIOTERAPIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1283.4
PSICOLOGIA,FACULDADE VALE DO SALGADO,CE,Juazeiro do Norte,1281.88
DIREITO,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,1281.68
FISIOTERAPIA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1280.79
NUTRI?O,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1280.74
FARM?CIA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1278.35
BIOMEDICINA,UNIVERSIDADE POTIGUAR,RN,Natal,1274.88
FISIOTERAPIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN? DE MOSSOR?- FACENE/RN,PB,Jo? Pessoa,1274.67
DIREITO,FACULDADE DOIS DE JULHO,BA,Salvador,1274.58
ENFERMAGEM,FACULDADE DE ENFERMAGEM NOVA ESPERAN? DE MOSSOR?- FACENE/RN,PB,Jo? Pessoa,1274.16
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU MANAUS,PE,Recife,1273.96
ENGENHARIA DE PRODU?O,FACULDADE NOVA ROMA,PE,Recife,1272.86
NUTRI?O,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1272.55
FARM?CIA,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1269.75
DIREITO,FACULDADES INTEGRADAS BARROS MELO,PE,Olinda,1267.85
FISIOTERAPIA,Centro Universit?io FACEX,RN,Natal,1267.2
FISIOTERAPIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1267
BIOMEDICINA,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,1266.71
DIREITO,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1265.21
ENGENHARIA QU?ICA,Faculdade ?rea1 Wyden,CE,Fortaleza,1264.81
ENGENHARIA MEC?ICA,Faculdade ?rea1 Wyden,CE,Fortaleza,1264.41
ADMINISTRA?O,FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,1264.38
DIREITO,FACULDADE PIT?GORAS INSTITUTO CAMILLO FILHO,PI,Teresina,1263.46
ENGENHARIA QU?ICA,Centro Universit?io FBV Wyden,CE,Fortaleza,1261.77
ENGENHARIA CIVIL,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1260.04
ENGENHARIA QU?ICA,Centro Universit?io Favip Wyden,PE,Caruaru,1259.98
ADMINISTRA?O,FACULDADE DELTA,BA,Salvador,1259
ENGENHARIA CIVIL,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1253.61
ARQUITETURA E URBANISMO,FACULDADE EST?CIO DE TERESINA,PI,Teresina,1252.1
ENFERMAGEM,Centro Universit?io FG,BA,Guanambi,1249.76
DIREITO,Centro Universit?io FG,BA,Guanambi,1249.76
PSICOLOGIA,Centro Universit?io FG,BA,Guanambi,1249.76
FARM?CIA,Centro Universit?io FG,BA,Guanambi,1249.76
ENGENHARIA DE COMPUTA?O,Faculdade ?rea1 Wyden,CE,Fortaleza,1249.51
SERVI? SOCIAL,Faculdade de Ci?cias Educacionais de Capim Grosso,BA,Capim Grosso,1245.99
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1245.69
ENGENHARIA MEC?ICA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1245
PSICOLOGIA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1244
ENGENHARIA CIVIL,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1244
FISIOTERAPIA,FACULDADE UNINASSAU NATAL,RN,Natal,1243.8
NUTRI?O,Centro Universit?io Fanor Wyden,CE,Fortaleza,1240.32
FISIOTERAPIA,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1240
DIREITO,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1240
FISIOTERAPIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1238.87
ENGENHARIA AMBIENTAL,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1238.87
FISIOTERAPIA,UNIVERSIDADE SALVADOR,BA,Salvador,1238.71
ENFERMAGEM,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,1238.52
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1238.33
ENFERMAGEM,FACULDADE DE CAMPINA GRANDE,PB,Campina Grande,1237.96
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,1237.11
FARM?CIA,Centro Universit?io da Amaz?ia,PB,Campina Grande,1236.78
ENGENHARIA CIVIL,FACULDADE DO SUL DA BAHIA,BA,Teixeira de Freitas,1235.61
