curso,est,mun,qtd
ADMINISTRA?O,SE,Aracaju,82
EDUCA?O F?ICA,CE,Fortaleza,82
DIREITO,MA,Imperatriz,81
PSICOLOGIA,PB,Patos,81
PSICOLOGIA,PE,Jaboat? dos Guararapes,79
ODONTOLOGIA,BA,Vit?ia da Conquista,79
ENFERMAGEM,CE,Aracati,78
ODONTOLOGIA,CE,Sobral,78
CI?CIAS CONT?BEIS,CE,Fortaleza,78
FISIOTERAPIA,RN,Natal,78
DIREITO,CE,Juazeiro do Norte,77
PSICOLOGIA,RN,Natal,77
DIREITO,PE,Timba?ba,77
FARM?CIA,MA,S? Lu?,77
ENFERMAGEM,CE,Crate?s,77
ENGENHARIA DE PRODU?O,CE,Fortaleza,76
ENGENHARIA EL?RICA,BA,Feira de Santana,76
ENGENHARIA CIVIL,PB,Cajazeiras,76
DIREITO,PE,Bel? do S? Francisco,75
ENFERMAGEM,PB,Cajazeiras,75
ENGENHARIA DE PRODU?O,SE,Aracaju,75
ENGENHARIA DE PRODU?O,BA,Salvador,75
ENFERMAGEM,BA,Ilh?s,74
ODONTOLOGIA,PI,Teresina,74
ENGENHARIA DE PRODU?O,BA,Lauro de Freitas,74
FISIOTERAPIA,CE,Juazeiro do Norte,74
ENFERMAGEM,PB,Patos,73
FISIOTERAPIA,PI,Teresina,73
ARQUITETURA E URBANISMO,PI,Teresina,73
MEDICINA VETERIN?RIA,SE,Aracaju,72
ENGENHARIA EL?RICA,BA,Salvador,72
ENGENHARIA CIVIL,AL,Macei?,72
CI?CIAS CONT?BEIS,PI,Teresina,71
ENGENHARIA MEC?ICA,BA,Alagoinhas,71
SERVI? SOCIAL,BA,Salvador,68
PEDAGOGIA,BA,Salvador,67
ENFERMAGEM,BA,Cruz das Almas,67
PSICOLOGIA,BA,Ilh?s,66
NUTRI?O,CE,Sobral,66
ENFERMAGEM,BA,Valen?,66
ENGENHARIA DE PETR?EO,SE,Aracaju,66
DIREITO,MA,Balsas,66
DIREITO,PI,Floriano,65
FISIOTERAPIA,PI,Piripiri,63
FARM?CIA,CE,Sobral,63
DIREITO,RN,Pau dos Ferros,63
ENGENHARIA MEC?ICA,BA,Lauro de Freitas,63
FISIOTERAPIA,PE,Jaboat? dos Guararapes,63
DIREITO,BA,Vit?ia da Conquista,63
FARM?CIA,PB,Jo? Pessoa,63
ENGENHARIA EL?RICA,SE,Aracaju,62
ENFERMAGEM,PE,Vit?ia de Santo Ant?,62
FARM?CIA,BA,Cruz das Almas,61
ENFERMAGEM,MA,Bacabal,59
CI?CIAS CONT?BEIS,SE,Aracaju,59
FARM?CIA,PB,Campina Grande,58
ADMINISTRA?O,BA,Lauro de Freitas,58
NUTRI?O,PB,Patos,58
ARQUITETURA E URBANISMO,PB,Cajazeiras,58
PSICOLOGIA,PE,Olinda,58
ENGENHARIA CIVIL,PE,Recife,57
DIREITO,PB,Cabedelo,56
ADMINISTRA?O,PE,Recife,56
DIREITO,PE,Vit?ia de Santo Ant?,56
ARQUITETURA E URBANISMO,CE,Sobral,55
NUTRI?O,CE,Juazeiro do Norte,55
ADMINISTRA?O,BA,Juazeiro,55
PSICOLOGIA,CE,Juazeiro do Norte,55
FISIOTERAPIA,PE,Caruaru,54
PSICOLOGIA,PE,Bel? do S? Francisco,53
MEDICINA VETERIN?RIA,PE,Jaboat? dos Guararapes,53
DIREITO,BA,Barreiras,53
FISIOTERAPIA,AL,Macei?,52
EDUCA?O F?ICA,PI,Teresina,52
ARQUITETURA E URBANISMO,RN,Natal,52
MEDICINA VETERIN?RIA,PE,Recife,51
PSICOLOGIA,CE,Crate?s,51
FARM?CIA,PI,Floriano,51
PEDAGOGIA,MA,Pa? do Lumiar,50
PSICOLOGIA,AL,Macei?,50
ENGENHARIA DE PRODU?O,PI,Teresina,50
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,SE,Aracaju,50
CI?CIAS CONT?BEIS,CE,Juazeiro do Norte,50
PSICOLOGIA,PB,Campina Grande,49
FARM?CIA,MA,Bacabal,48
NUTRI?O,PB,Cajazeiras,48
FARM?CIA,PI,Piripiri,48
ENFERMAGEM,PE,Serra Talhada,48
ENFERMAGEM,BA,Santo Ant?io de Jesus,48
BIOMEDICINA,PE,Recife,48
FISIOTERAPIA,PE,Vit?ia de Santo Ant?,47
ADMINISTRA?O,BA,Feira de Santana,46
FARM?CIA,PE,Serra Talhada,46
BIOMEDICINA,BA,Guanambi,46
ADMINISTRA?O,PI,Teresina,46
PEDAGOGIA,CE,Fortaleza,46
FISIOTERAPIA,BA,Vit?ia da Conquista,46
ENGENHARIA MEC?ICA,BA,Feira de Santana,46
ODONTOLOGIA,PE,Caruaru,46
MEDICINA VETERIN?RIA,BA,Guanambi,46
ENFERMAGEM,BA,Barreiras,45
DIREITO,MA,Timon,45
FISIOTERAPIA,CE,Quixad?,45
MEDICINA VETERIN?RIA,CE,Quixad?,45
FARM?CIA,PE,Caruaru,44
FARM?CIA,BA,Vit?ia da Conquista,44
ENFERMAGEM,PE,Caruaru,44
ENGENHARIA EL?RICA,PI,Teresina,44
ARQUITETURA E URBANISMO,PB,Patos,43
PSICOLOGIA,BA,Paulo Afonso,43
ENFERMAGEM,BA,Juazeiro,43
SERVI? SOCIAL,MA,Pa? do Lumiar,43
CI?CIAS CONT?BEIS,BA,Lauro de Freitas,43
ENGENHARIA CIVIL,BA,Vit?ia da Conquista,42
PSICOLOGIA,PB,Cajazeiras,42
ENFERMAGEM,PI,Floriano,42
ENGENHARIA CIVIL,PE,Vit?ia de Santo Ant?,42
ODONTOLOGIA,PB,Cajazeiras,41
PSICOLOGIA,CE,Quixad?,41
EDUCA?O F?ICA,PE,Recife,41
ENGENHARIA CIVIL,PE,Serra Talhada,41
FISIOTERAPIA,PE,Serra Talhada,41
ENFERMAGEM,CE,Quixad?,41
MEDICINA VETERIN?RIA,BA,Lauro de Freitas,41
NUTRI?O,BA,Lauro de Freitas,40
ENGENHARIA QU?ICA,BA,Salvador,40
DIREITO,CE,Quixad?,40
ADMINISTRA?O,MA,Pa? do Lumiar,40
ARQUITETURA E URBANISMO,BA,Vit?ia da Conquista,40
ENGENHARIA CIVIL,PI,Floriano,40
FISIOTERAPIA,PB,Cajazeiras,40
BIOMEDICINA,CE,Fortaleza,39
ENGENHARIA MECATR?ICA,SE,Aracaju,39
SERVI? SOCIAL,MA,Caxias,38
PEDAGOGIA,SE,Aracaju,38
ENGENHARIA CIVIL,BA,Ilh?s,38
MEDICINA,RN,Natal,38
ENGENHARIA DE PRODU?O,BA,Feira de Santana,38
NUTRI?O,PB,Campina Grande,37
ENGENHARIA CIVIL,BA,Santo Ant?io de Jesus,37
FARM?CIA,AL,Macei?,37
CI?CIAS CONT?BEIS,PB,Jo? Pessoa,37
FONOAUDIOLOGIA,CE,Fortaleza,37
FISIOTERAPIA,PE,Olinda,37
FARM?CIA,RN,Natal,36
FISIOTERAPIA,BA,Valen?,36
SISTEMAS DE INFORMA?O,BA,Salvador,36
ENGENHARIA EL?RICA,BA,Lauro de Freitas,35
NUTRI?O,BA,Ilh?s,35
FARM?CIA,CE,Aracati,35
EDUCA?O F?ICA,BA,Feira de Santana,35
CI?CIAS CONT?BEIS,RN,Natal,35
PEDAGOGIA,BA,Lauro de Freitas,35
CI?CIAS CONT?BEIS,PE,Recife,34
FISIOTERAPIA,BA,Alagoinhas,34
ODONTOLOGIA,PE,Jaboat? dos Guararapes,34
DIREITO,BA,Eun?olis,34
NUTRI?O,MA,S? Lu?,34
FISIOTERAPIA,PI,Picos,34
ENGENHARIA AMBIENTAL,BA,Salvador,34
ADMINISTRA?O,PE,Jaboat? dos Guararapes,34
FISIOTERAPIA,MA,S? Lu?,33
NUTRI?O,PB,Jo? Pessoa,33
ENFERMAGEM,BA,Concei?o do Coit?,33
ENFERMAGEM,BA,Vit?ia da Conquista,33
EDUCA?O F?ICA,BA,Lauro de Freitas,33
EDUCA?O F?ICA,SE,Aracaju,33
ADMINISTRA?O,PB,Jo? Pessoa,33
ADMINISTRA?O,MA,Caxias,32
NUTRI?O,PI,Floriano,32
PSICOLOGIA,MA,Caxias,32
ENGENHARIA CIVIL,BA,Teixeira de Freitas,32
NUTRI?O,PI,Teresina,32
ENGENHARIA DE PRODU?O,CE,Quixad?,32
BIOMEDICINA,BA,Lauro de Freitas,32
ENGENHARIA DE PRODU?O,CE,Sobral,31
NUTRI?O,RN,Natal,31
CI?CIAS CONT?BEIS,BA,Santo Ant?io de Jesus,31
ENGENHARIA EL?RICA,BA,Guanambi,31
BIOMEDICINA,PB,Campina Grande,31
SERVI? SOCIAL,CE,Crate?s,31
AGRONOMIA,BA,Lu? Eduardo Magalh?s,31
FISIOTERAPIA,PB,Patos,31
ENGENHARIA CIVIL,BA,Cruz das Almas,30
