no_ies,est,mun,qtd
FACULDADE DE TECNOLOGIA E CI?CIAS DA BAHIA,BA,Alagoinhas,142
FACULDADE UNINASSAU TERESINA,PI,Teresina,140
CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,135
FACULDADE REINALDO RAMOS,PB,Campina Grande,133
UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,129
FACULDADE DE CI?CIAS HUMANAS E EXATAS DO SERT? DO S? FRANCISCO,PE,Bel? do S? Francisco,128
FACULDADE ZACARIAS DE G?S,BA,Valen?,127
Faculdade Unirb - Barreiras,BA,Salvador,126
FACULDADE BATISTA BRASILEIRA,BA,Salvador,126
FACULDADE SOCIAL DA BAHIA,BA,Salvador,125
FACULDADE DE TECNOLOGIA DE ALAGOAS,AL,Macei?,124
Faculdade de Tecnologia e Ci?cias,BA,Salvador,120
FACULDADE DE BALSAS,MA,Balsas,113
INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANH?,MA,Imperatriz,112
FACULDADE UNIME DE CI?CIAS JUR?ICAS,BA,Lauro de Freitas,110
Centro Universit?io Favip Wyden,PE,Caruaru,105
FACULDADE PIT?GORAS INSTITUTO CAMILLO FILHO,PI,Teresina,100
Faculdade da Regi? Sisaleira,BA,Concei?o do Coit?,96
FACULDADE EVOLU?O ALTO OESTE POTIGUAR,RN,Pau dos Ferros,94
CISNE - FACULDADE DE QUIXAD?,CE,Quixad?,93
Centro Universit?io Fanor Wyden,CE,Fortaleza,92
FACULDADES INTEGRADAS DA VIT?IA DE SANTO ANT?,PE,Vit?ia de Santo Ant?,91
FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,91
FACULDADE DE CI?CIAS DE TIMBA?A,PE,Timba?ba,91
FACULDADE UNINASSAU PARNA?A,PI,Parna?a,90
FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,88
CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,88
FACULDADE UNINASSAU NATAL,RN,Natal,88
CENTRO UNIVERSIT?RIO DOM PEDRO II,BA,Salvador,88
FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,BA,Eun?olis,85
FACULDADE DE CI?CIAS M?ICAS DA PARA?A,PB,Jo? Pessoa,82
CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,81
FACULDADE DE CI?CIAS HUMANAS DE OLINDA,PE,Olinda,80
Centro Universit?io da Amaz?ia,PB,Campina Grande,79
FACULDADE SANT?SIMO SACRAMENTO,BA,Salvador,76
FACULDADE NOVA ROMA,PE,Recife,73
CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,72
FACULDADE DE COMUNICA?O E TURISMO DE OLINDA,PE,Olinda,72
Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,72
Faculdade UNIRB - ARACAJU,SE,Aracaju,72
Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,71
UNIVERSIDADE SALVADOR,BA,Salvador,71
FACULDADE DA ESCADA,PE,Escada,69
CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,69
FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,69
FACULDADE FRASSINETTI DO RECIFE,PE,Recife,69
CENTRO UNIVERSIT?RIO ARNALDO HOR?CIO FERREIRA,BA,Lu? Eduardo Magalh?s,65
